"sensors_number";"total_packets_sent";"total_packets_received";"total_energy_utilization";"packet_received_ratio"
10;1391;130;2,14404751351402;0,0934579439252336
20;2767;260;7,07686289289084;0,093964582580412
30;4159;390;14,8197464424099;0,0937725414763164
40;5523;515;25,3064985994981;0,0932464240449031
50;6931;642;38,5556908675173;0,092627326504112
60;8320;708;49,3482858049078;0,0850961538461538
70;9721;694;56,3124421866662;0,0713918321160374
80;11105;668;62,8966098106551;0,060153084196308
90;12469;681;71,2026115234518;0,054615446306841
100;13869;681;79,0164054670614;0,0491023145143846
